rdtimestamp,soiltemp,soilhum,airtemp,airhum
1742770800,10.25,65.1,9.15,100.0
1742771700,10.13,65.99,8.53,100.0
1742772600,10.09,65.04,8.1,100.0
1742773500,9.94,66.16,8.03,100.0
1742774400,10.0,65.05,8.25,100.0
1742775300,9.93,65.84,8.65,100.0
1742776200,9.99,64.9,8.85,100.0
1742777100,9.94,65.84,8.78,100.0
1742778000,9.95,64.98,8.35,100.0
1742778900,9.76,65.87,7.9,100.0
1742779800,9.8,64.88,7.9,100.0
1742780700,9.69,65.92,8.48,100.0
1742781600,9.79,64.76,9.1,100.0
1742782500,9.81,65.98,9.28,100.0
1742783400,9.87,64.61,9.35,100.0
1742784300,9.88,65.8,9.5,100.0
1742785200,9.91,64.9,9.4,100.0
1742786100,9.9,65.88,9.1,100.0
1742787000,9.97,64.35,8.75,100.0
1742787900,9.78,66.07,8.75,100.0
1742788800,9.92,64.47,8.75,100.0
1742789700,9.77,65.97,8.75,100.0
1742790600,9.89,64.61,8.2,100.0
1742791500,9.67,65.92,7.9,100.0
1742792400,9.8,64.29,7.85,100.0
1742793300,9.6,65.98,8.0,100.0
1742794200,9.76,64.48,8.4,100.0
1742795100,9.63,65.93,8.78,100.0
1742796000,9.81,64.53,9.15,100.0
1742796900,9.72,66.05,9.53,100.0
1742797800,9.93,64.34,9.85,100.0
1742798700,9.91,64.23,10.45,100.0
1742799600,10.17,59.99,10.65,100.0
1742800500,10.13,62.21,10.78,100.0
1742801400,10.27,61.24,11.1,100.0
1742802300,10.31,62.25,11.9,100.0
1742803200,10.45,64.09,12.55,100.0
1742804100,10.65,59.97,13.1,97.5
1742805000,10.85,64.15,13.95,96.25
1742805900,11.19,59.82,15.28,90.75
1742806800,11.51,64.11,16.1,86.25
1742807700,11.76,59.62,16.6,85.0
1742808600,12.08,63.75,17.4,82.0
1742809500,12.07,59.78,17.98,74.63
1742810400,12.67,62.93,18.35,67.0
1742811300,12.42,59.73,18.68,67.38
1742812200,13.03,62.84,19.25,63.25
1742813100,12.75,59.63,20.1,60.25
1742814000,13.42,62.88,20.4,62.0
1742814900,13.13,60.09,20.95,60.13
1742815800,13.67,62.46,20.35,58.75
1742816700,13.31,60.34,21.28,57.38
1742817600,13.68,62.42,19.9,60.0
1742818500,13.3,60.07,19.73,59.33
1742819400,13.59,62.5,19.8,58.25
1742820300,13.33,60.33,19.65,62.25
1742821200,13.62,62.71,21.15,56.5
1742822100,13.49,59.9,20.68,56.63
1742823000,13.78,62.39,21.45,53.25
1742823900,13.62,59.87,21.55,54.0
1742824800,13.74,65.78,21.7,53.0
1742825700,13.9,59.5,21.85,52.75
1742826600,13.6,62.27,21.5,52.0
1742827500,13.91,59.3,21.58,53.5
1742828400,13.56,62.47,22.0,51.75
1742829300,13.87,59.23,22.08,51.75
1742830200,13.51,62.36,21.9,50.25
1742831100,13.81,58.63,21.2,51.88
1742832000,13.38,62.46,20.5,55.25
1742832900,13.63,58.64,19.78,58.25
1742833800,13.18,62.59,18.7,64.25
1742834700,13.39,58.73,17.6,67.63
1742835600,12.86,62.57,16.45,72.5
1742836500,13.07,58.59,15.33,76.88
1742837400,12.56,62.65,14.25,80.75
1742838300,12.66,58.76,12.8,84.88
1742839200,12.01,61.21,11.8,88.0
1742840100,12.27,58.76,11.18,91.75
1742841000,11.65,62.59,10.9,93.5
1742841900,12.03,57.83,10.45,93.75
1742842800,11.32,62.8,9.85,95.0
1742843700,11.63,58.67,9.98,94.88
1742844600,11.07,62.79,9.6,96.5
1742845500,11.4,58.85,9.55,95.63
1742846400,10.87,61.25,9.25,96.75
1742847300,11.07,63.04,9.2,97.38
1742848200,10.83,59.01,9.2,98.5
1742849100,10.87,63.31,8.98,98.88
1742850000,10.65,59.02,9.1,99.25
1742850900,10.72,63.0,8.95,98.88
1742851800,10.56,59.0,9.4,98.75
1742852700,10.67,63.2,9.4,99.13
1742853600,10.56,59.11,9.3,99.25
1742854500,10.67,63.04,9.5,99.25
1742855400,10.62,59.43,9.8,99.25
1742856300,10.65,62.11,9.95,98.75
1742857200,10.62,59.12,9.7,98.75
1742858100,10.63,62.08,9.53,98.88
1742859000,10.58,59.3,9.25,99.25
1742859900,10.46,62.12,8.85,99.13
1742860800,10.5,59.69,8.7,99.75
1742861700,10.29,61.77,8.33,99.88
1742862600,10.37,59.54,9.05,100.0
1742863500,10.26,61.87,9.58,99.88
1742864400,10.35,59.53,10.0,97.75
1742865300,10.31,61.88,9.95,94.63
1742866200,10.37,59.68,9.7,95.5
1742867100,10.32,62.22,9.8,96.38
1742868000,10.39,59.42,10.2,95.75
1742868900,10.39,62.39,10.3,95.75
1742869800,10.45,59.83,10.35,95.25
1742870700,10.41,62.28,10.08,96.0
1742871600,10.46,59.17,9.65,96.0
1742872500,10.33,62.17,9.13,97.38
1742873400,10.37,59.22,8.9,98.25
1742874300,10.17,62.3,8.7,98.5
1742875200,10.24,59.09,8.3,99.25
1742876100,10.02,62.06,8.5,99.88
1742877000,10.23,58.57,8.75,99.75
1742877900,9.96,62.38,8.7,99.63
1742878800,10.21,58.69,8.6,99.5
1742879700,9.98,62.39,8.58,99.88
1742880600,10.21,58.55,9.0,100.0
1742881500,10.03,62.42,9.2,100.0
1742882400,10.27,58.22,9.35,99.5
1742883300,10.04,61.8,9.43,99.38
1742884200,10.32,58.41,9.75,99.5
1742885100,10.19,62.18,10.2,99.5
1742886000,10.47,58.39,10.6,98.5
1742886900,10.41,62.14,11.3,97.0
1742887800,10.71,58.47,12.3,94.0
1742888700,10.83,62.06,13.53,89.63
1742889600,11.13,58.56,14.5,84.75
1742890500,11.4,60.61,15.45,78.75
1742891400,11.65,59.99,16.6,74.5
1742892300,11.95,60.55,17.53,71.0
1742893200,12.15,62.66,18.4,66.0
1742894100,12.36,58.38,18.65,63.25
1742895000,12.62,62.72,19.3,61.25
1742895900,12.76,58.23,19.55,58.25
1742896800,13.05,62.27,19.1,59.0
1742897700,13.19,57.37,19.73,60.0
1742898600,13.36,62.44,20.1,55.75
1742899500,13.32,58.39,20.08,55.75
1742900400,13.55,62.48,20.1,55.5
1742901300,13.34,58.79,19.8,57.0
1742902200,13.7,61.52,19.4,57.75
