rdtimestamp,soiltemp,soilhum,airtemp,airhum
1711234800,11.06,56.76,11.0,75.5
1711235700,11.12,52.07,10.55,76.25
1711236600,10.82,57.0,10.68,72.75
1711237500,10.96,52.12,11.0,67.75
1711238400,10.65,56.78,10.88,65.5
1711239300,10.76,52.04,10.4,66.0
1711240200,10.41,56.4,9.93,67.5
1711241100,10.44,52.85,9.05,70.5
1711242000,10.05,56.26,8.63,67.13
1711242900,10.18,52.66,8.65,64.75
1711243800,9.8,56.28,8.08,66.63
1711244700,9.9,53.05,7.65,65.25
1711245600,9.55,56.08,7.78,62.38
1711246500,9.7,52.92,7.5,62.75
1711247400,9.3,56.35,6.88,66.63
1711248300,9.39,52.84,6.1,70.25
1711249200,8.99,56.32,5.73,71.25
1711250100,9.09,52.88,5.35,74.25
1711251000,8.71,56.26,5.28,74.5
1711251900,8.92,53.04,4.9,76.25
1711252800,8.48,56.48,4.35,77.5
1711253700,8.55,52.91,4.0,78.25
1711254600,8.21,56.4,4.0,78.0
1711255500,8.33,52.75,3.35,82.25
1711256400,7.86,56.62,2.83,85.38
1711257300,7.98,53.13,3.0,88.0
1711258200,7.71,56.16,3.0,86.13
1711259100,8.01,52.92,3.5,82.5
1711260000,8.16,56.48,4.9,82.13
1711260900,8.81,54.16,6.2,77.5
1711261800,8.81,53.98,7.3,75.25
1711262700,9.75,54.01,9.3,71.0
1711263600,9.83,53.85,10.53,69.88
1711264500,10.83,53.83,11.45,69.25
1711265400,10.54,53.89,12.23,69.5
1711266300,11.7,53.27,13.0,68.25
1711267200,11.44,53.79,13.73,67.38
1711268100,12.66,53.14,14.15,64.0
1711269000,12.16,53.5,14.33,64.63
1711269900,13.25,53.12,14.4,66.0
1711270800,12.93,53.33,15.23,62.25
1711271700,14.15,50.47,15.1,61.0
1711272600,13.41,55.2,15.85,59.25
1711273500,15.0,50.37,16.65,56.75
1711274400,14.55,53.71,16.8,54.5
1711275300,15.85,52.2,17.45,53.75
1711276200,15.19,53.35,17.43,52.88
1711277100,16.77,51.93,18.2,50.75
1711278000,15.56,53.6,18.0,49.63
1711278900,16.54,55.19,18.95,49.75
1711279800,17.45,50.46,19.77,45.67
1711280700,17.02,54.86,20.2,47.75
1711281600,16.37,50.63,20.3,42.13
1711282500,15.9,55.37,20.75,41.25
1711283400,16.22,50.81,21.3,42.0
1711284300,16.82,54.88,21.75,39.25
1711285200,16.39,50.64,22.05,36.38
1711286100,16.4,54.72,21.5,36.0
1711287000,16.21,51.07,22.03,36.63
1711287900,15.82,54.75,21.65,35.25
1711288800,15.78,51.19,21.58,33.0
1711289700,15.36,54.79,22.35,32.0
1711290600,15.52,51.21,21.98,31.88
1711291500,15.32,54.55,20.6,38.0
1711292400,15.39,51.19,19.45,40.13
1711293300,14.54,54.9,18.0,42.75
1711294200,14.27,51.23,17.33,41.0
1711295100,13.74,54.86,16.95,41.0
1711296000,13.64,51.11,16.63,41.75
1711296900,13.14,54.91,16.6,43.75
1711297800,13.09,51.28,16.9,45.13
1711298700,12.62,54.96,16.9,49.0
1711299600,12.41,51.08,16.48,48.13
1711300500,11.75,54.99,14.9,48.5
1711301400,11.53,51.54,13.23,56.38
1711302300,10.8,55.2,11.8,59.25
1711303200,10.73,51.42,10.35,67.63
1711304100,10.11,55.4,9.05,70.5
1711305000,10.11,51.43,8.73,73.13
1711305900,9.61,55.01,7.7,80.25
1711306800,9.61,52.53,6.88,80.38
1711307700,9.43,53.26,6.4,87.25
1711308600,9.27,52.75,5.73,88.13
1711309500,9.29,53.35,6.55,81.75
1711310400,9.42,52.48,6.68,82.38
1711311300,9.3,53.27,6.75,84.0
1711312200,9.38,52.77,6.43,86.0
1711313100,9.09,53.19,6.1,88.5
1711314000,9.09,52.58,5.6,88.88
1711314900,8.82,53.13,5.6,91.5
1711315800,8.83,52.48,5.28,91.13
1711316700,8.57,53.04,4.75,92.25
1711317600,8.37,50.22,5.05,93.88
1711318500,8.59,55.07,4.2,92.25
1711319400,8.13,50.39,4.45,95.5
1711320300,8.58,53.75,5.25,94.75
1711321200,8.13,52.63,5.4,92.63
1711322100,8.62,53.35,5.2,91.25
1711323000,7.98,52.61,4.35,93.5
1711323900,8.33,53.59,3.6,95.25
1711324800,7.72,55.11,3.53,96.25
1711325700,7.93,50.99,3.6,97.5
1711326600,7.51,55.18,3.48,97.63
1711327500,7.71,51.06,2.55,97.75
1711328400,7.2,55.16,3.13,99.0
1711329300,7.54,51.28,3.5,98.25
1711330200,7.14,55.45,2.35,97.63
1711331100,7.34,51.07,1.9,98.75
1711332000,6.89,55.0,1.65,99.13
1711332900,7.07,51.59,1.85,99.5
1711333800,6.72,55.06,1.2,99.5
1711334700,6.89,51.6,0.7,99.5
1711335600,6.71,52.89,0.6,99.75
1711336500,6.76,51.65,1.25,100.0
1711337400,6.43,55.4,0.6,100.0
1711338300,6.64,51.71,0.9,100.0
1711339200,6.38,55.11,1.03,100.0
1711340100,6.57,51.72,0.35,100.0
1711341000,6.22,55.13,0.25,100.0
1711341900,6.41,51.5,-0.1,100.0
1711342800,6.05,55.36,-0.13,100.0
1711343700,6.3,51.62,-0.05,100.0
1711344600,6.05,54.85,0.53,100.0
1711345500,6.46,51.39,1.25,100.0
1711346400,6.46,54.95,2.53,100.0
1711347300,7.1,51.52,4.25,100.0
1711348200,7.22,54.89,5.58,100.0
1711349100,8.12,51.13,6.75,100.0
1711350000,8.54,54.65,7.98,100.0
1711350900,9.52,51.14,9.15,99.0
1711351800,9.46,54.36,9.85,93.13
1711352700,10.82,51.81,10.7,85.5
1711353600,10.31,52.67,11.65,79.0
1711354500,12.04,51.66,12.1,73.75
1711355400,11.32,52.34,13.18,71.88
