nodeid,rdtimestamp,rssi,snr
milesight-01,1711234800,-72.0,9.5
milesight-02,1711234800,-76.0,8.9
tinovi-01,1711234800,-69.0,9.5
tinovi-02,1711234800,-75.0,10.3
tinovi-03,1711234800,-77.0,7.3
tinovi-04,1711234800,-91.5,8.4
tinovi-05,1711234800,-69.0,9.9
tinovi-06,1711234800,-80.0,8.5
milesight-01,1711235700,-69.0,7.5
milesight-02,1711235700,-81.0,8.0
tinovi-01,1711235700,-72.0,8.8
tinovi-02,1711235700,-77.0,9.6
tinovi-03,1711235700,-77.5,9.3
tinovi-04,1711235700,-89.0,9.0
tinovi-05,1711235700,-65.0,7.3
tinovi-06,1711235700,-81.5,9.0
milesight-01,1711236600,-71.5,9.5
milesight-02,1711236600,-79.0,8.5
tinovi-01,1711236600,-72.0,10.0
tinovi-02,1711236600,-79.0,9.8
tinovi-03,1711236600,-77.0,9.3
tinovi-04,1711236600,-87.0,8.1
tinovi-05,1711236600,-70.0,10.8
tinovi-06,1711236600,-81.0,9.5
milesight-01,1711237500,-73.0,7.8
milesight-02,1711237500,-98.0,8.8
tinovi-01,1711237500,-72.0,8.8
tinovi-02,1711237500,-76.5,8.4
tinovi-03,1711237500,-79.0,8.5
tinovi-04,1711237500,-89.0,10.0
tinovi-05,1711237500,-71.0,9.8
tinovi-06,1711237500,-81.0,7.9
milesight-01,1711238400,-70.0,8.8
milesight-02,1711238400,-77.0,8.8
tinovi-01,1711238400,-71.0,9.8
tinovi-02,1711238400,-69.0,9.3
tinovi-03,1711238400,-77.0,10.3
tinovi-04,1711238400,-88.0,8.4
tinovi-05,1711238400,-69.0,8.4
tinovi-06,1711238400,-83.0,9.5
milesight-01,1711239300,-72.0,10.0
milesight-02,1711239300,-78.0,7.5
tinovi-01,1711239300,-71.5,9.4
tinovi-02,1711239300,-71.5,7.8
tinovi-03,1711239300,-74.5,7.8
tinovi-04,1711239300,-87.0,8.3
tinovi-05,1711239300,-73.0,10.5
tinovi-06,1711239300,-80.0,7.5
milesight-01,1711240200,-73.0,9.5
milesight-02,1711240200,-77.0,8.3
tinovi-01,1711240200,-72.0,7.5
tinovi-02,1711240200,-74.0,8.5
tinovi-03,1711240200,-77.0,10.0
tinovi-04,1711240200,-88.5,8.5
tinovi-05,1711240200,-68.0,9.3
tinovi-06,1711240200,-81.0,8.5
milesight-01,1711241100,-71.0,9.5
milesight-02,1711241100,-76.0,9.3
tinovi-01,1711241100,-73.5,9.9
tinovi-02,1711241100,-77.0,9.4
tinovi-03,1711241100,-77.0,9.8
tinovi-04,1711241100,-85.0,8.8
tinovi-05,1711241100,-70.0,8.6
tinovi-06,1711241100,-82.0,9.0
milesight-01,1711242000,-72.0,9.3
milesight-02,1711242000,-76.0,9.5
tinovi-01,1711242000,-74.0,7.8
tinovi-02,1711242000,-74.0,7.5
tinovi-03,1711242000,-77.0,8.8
tinovi-04,1711242000,-89.5,8.1
tinovi-05,1711242000,-71.0,10.0
tinovi-06,1711242000,-81.0,7.0
milesight-01,1711242900,-69.0,7.5
milesight-02,1711242900,-77.0,9.8
tinovi-01,1711242900,-73.0,9.6
tinovi-02,1711242900,-73.0,9.0
tinovi-03,1711242900,-76.0,8.3
tinovi-04,1711242900,-93.0,8.8
tinovi-05,1711242900,-72.0,9.9
tinovi-06,1711242900,-83.0,9.3
milesight-01,1711243800,-73.0,9.0
milesight-02,1711243800,-80.0,9.4
tinovi-01,1711243800,-74.0,9.8
tinovi-02,1711243800,-73.0,7.8
tinovi-03,1711243800,-77.0,9.8
tinovi-04,1711243800,-94.0,8.1
tinovi-05,1711243800,-71.0,7.8
tinovi-06,1711243800,-81.0,7.0
milesight-01,1711244700,-71.0,9.5
milesight-02,1711244700,-80.0,9.5
