nodeid,rdtimestamp,rssi,snr
milesight-01,1742770800,-78.0,10.0
milesight-02,1742770800,-85.0,10.0
tinovi-01,1742770800,-81.0,10.0
tinovi-02,1742770800,-70.5,9.8
tinovi-03,1742770800,-88.5,9.6
tinovi-04,1742770800,-72.0,7.5
tinovi-05,1742770800,-79.5,9.1
tinovi-06,1742770800,-80.0,8.6
milesight-01,1742771700,-78.5,9.3
milesight-02,1742771700,-83.0,9.6
tinovi-01,1742771700,-81.0,10.0
tinovi-02,1742771700,-71.0,9.5
tinovi-03,1742771700,-90.0,9.3
tinovi-04,1742771700,-74.0,9.6
tinovi-05,1742771700,-80.0,7.3
tinovi-06,1742771700,-81.0,9.0
milesight-01,1742772600,-75.0,7.0
milesight-02,1742772600,-84.0,9.5
tinovi-01,1742772600,-79.0,9.0
tinovi-02,1742772600,-73.0,8.5
tinovi-03,1742772600,-92.0,7.8
tinovi-04,1742772600,-73.0,6.8
tinovi-05,1742772600,-79.5,10.0
tinovi-06,1742772600,-81.0,9.6
milesight-01,1742773500,-79.0,9.8
milesight-02,1742773500,-84.5,8.0
tinovi-01,1742773500,-81.5,8.9
tinovi-02,1742773500,-71.0,9.5
tinovi-03,1742773500,-91.0,8.5
tinovi-04,1742773500,-73.0,9.5
tinovi-05,1742773500,-80.0,10.3
tinovi-06,1742773500,-81.0,7.0
milesight-01,1742774400,-77.0,9.5
milesight-02,1742774400,-85.0,9.5
tinovi-01,1742774400,-81.0,11.0
tinovi-02,1742774400,-70.0,8.3
tinovi-03,1742774400,-88.0,7.8
tinovi-04,1742774400,-74.0,9.3
tinovi-05,1742774400,-79.0,8.3
tinovi-06,1742774400,-78.0,9.1
milesight-01,1742775300,-78.0,8.8
milesight-02,1742775300,-81.5,10.0
tinovi-01,1742775300,-79.5,8.6
tinovi-02,1742775300,-69.0,8.5
tinovi-03,1742775300,-84.0,8.8
tinovi-04,1742775300,-72.0,8.3
tinovi-05,1742775300,-79.0,9.0
tinovi-06,1742775300,-78.0,7.3
milesight-01,1742776200,-81.0,9.3
milesight-02,1742776200,-85.0,10.0
tinovi-01,1742776200,-80.0,8.8
tinovi-02,1742776200,-71.5,9.1
tinovi-03,1742776200,-91.0,9.4
tinovi-04,1742776200,-74.0,8.8
tinovi-05,1742776200,-78.5,8.4
tinovi-06,1742776200,-79.5,8.6
milesight-01,1742777100,-80.5,10.1
milesight-02,1742777100,-82.0,7.6
tinovi-01,1742777100,-80.0,9.9
tinovi-02,1742777100,-73.0,10.8
tinovi-03,1742777100,-91.0,9.0
tinovi-04,1742777100,-71.5,7.9
tinovi-05,1742777100,-79.0,9.3
tinovi-06,1742777100,-81.0,9.3
milesight-01,1742778000,-79.0,10.3
milesight-02,1742778000,-83.0,9.5
tinovi-01,1742778000,-80.0,7.8
tinovi-02,1742778000,-72.5,8.5
tinovi-03,1742778000,-90.0,8.1
tinovi-04,1742778000,-73.0,9.3
tinovi-05,1742778000,-80.0,9.5
tinovi-06,1742778000,-81.0,8.4
milesight-01,1742778900,-78.5,8.5
milesight-02,1742778900,-80.0,9.6
tinovi-01,1742778900,-80.0,8.9
tinovi-02,1742778900,-71.0,9.8
tinovi-03,1742778900,-87.0,9.5
tinovi-04,1742778900,-73.0,9.1
tinovi-05,1742778900,-79.0,9.5
tinovi-06,1742778900,-79.0,8.3
milesight-01,1742779800,-75.0,7.5
milesight-02,1742779800,-83.0,10.0
tinovi-01,1742779800,-81.0,7.8
tinovi-02,1742779800,-69.0,8.1
tinovi-03,1742779800,-89.0,8.1
tinovi-04,1742779800,-73.0,9.3
tinovi-05,1742779800,-78.0,8.4
tinovi-06,1742779800,-79.0,8.1
milesight-01,1742780700,-78.5,9.8
milesight-02,1742780700,-84.5,8.0
tinovi-01,1742780700,-80.5,10.3
tinovi-02,1742780700,-72.0,9.8
tinovi-03,1742780700,-91.0,9.5
tinovi-04,1742780700,-72.0,8.1
tinovi-05,1742780700,-80.0,9.8
tinovi-06,1742780700,-77.0,8.5
milesight-01,1742781600,-77.0,10.3
milesight-02,1742781600,-74.0,7.5
tinovi-01,1742781600,-81.0,10.8
tinovi-02,1742781600,-71.5,9.6
tinovi-03,1742781600,-91.0,8.9
tinovi-04,1742781600,-73.0,9.5
tinovi-05,1742781600,-79.5,8.5
tinovi-06,1742781600,-80.0,9.8
milesight-01,1742782500,-76.5,8.4
milesight-02,1742782500,-80.0,8.5
tinovi-01,1742782500,-79.5,8.5
tinovi-02,1742782500,-72.0,7.0
tinovi-03,1742782500,-91.0,7.3
tinovi-04,1742782500,-71.5,7.8
tinovi-05,1742782500,-79.0,9.3
tinovi-06,1742782500,-80.5,8.6
milesight-01,1742783400,-79.0,7.8
milesight-02,1742783400,-85.0,11.0
tinovi-01,1742783400,-83.0,10.8
tinovi-02,1742783400,-70.0,9.6
tinovi-03,1742783400,-89.5,9.6
tinovi-04,1742783400,-74.0,9.5
tinovi-05,1742783400,-80.0,9.4
tinovi-06,1742783400,-81.0,7.3
